cluster,soft_size,reg_shots_per60,reg_goals_per60,reg_assists_per60,reg_points_per60,reg_hits_per60,reg_blocked_shots_per60,reg_takeaways_per60,reg_giveaways_per60,reg_pim_per60,reg_pp_share,reg_pk_share,reg_fo_pct,reg_fo_taken_per_game,mp_reg_5on5_I_F_xGoals_per60,mp_reg_5on5_I_F_xGoalsPerAttempt,mp_reg_5on5_I_F_highDangerShots_per60,mp_reg_5on5_I_F_highDangerShotShare,mp_reg_5on5_I_F_rebounds_per60,mp_reg_5on5_I_F_reboundxGoals_per60,mp_reg_5on5_I_F_playContinuedInZone_per60,mp_reg_5on5_I_F_playContinuedOutsideZone_per60,mp_reg_5on5_OnIce_xGoalsPercentage_calc,mp_reg_5on5_OnIce_F_xGoals_per60,mp_reg_5on5_OnIce_A_xGoals_per60,mp_reg_5on5_OnIce_A_shotAttempts_per60,mp_reg_5on5_shotsBlockedByPlayer_per60,mp_reg_5on5_penaltiesDrawn_per60,mp_reg_5on4_I_F_xGoals_per60,mp_reg_4on5_OnIce_A_xGoals_per60,prototype_players
0,65.27049863532167,3.5970174194509745,0.18852655611681884,0.7485621497985697,0.9370887059153885,3.081700822460967,4.311887018992563,1.0550794891285056,1.584802976112222,1.7560029308479992,0.0,0.0,0.0,0.0,0.12249678874151654,0.017620292927812833,0.03499078585761059,0.005435633247345539,0.20181222306981958,0.013057766816760078,1.5099212231694172,1.9033570578288823,0.49828235228238443,2.2109114840506376,2.228679787876911,52.711634289240784,4.098468138780541,0.4547133730082813,0.5662756171671682,6.189791683465052,Matt Carle (PHI/TBL) p=1.00 | Kimmo Timonen (PHI) p=1.00 | Josh Gorges (MTL) p=1.00 | Drew Doughty (LAK) p=1.00 | Tom Gilbert (EDM) p=1.00 | Lukas Krajicek (TBL) p=1.00 | Brett Clark (COL) p=1.00 | Marc-Edouard Vlasic (SJS) p=1.00 | Toby Enstrom (ATL) p=1.00 | Braydon Coburn (PHI) p=1.00 | Chris Campoli (NYI/OTT) p=1.00 | Jordan Leopold (COL/CGY) p=1.00
1,1.0,7.128712871287129,0.8910891089108911,0.0,0.8910891089108911,13.366336633663366,5.346534653465347,0.8910891089108911,0.0,35.64356435643565,0.0,0.0,0.0,0.0,1.1483870967741936,0.09584615384615384,1.8433179723502304,0.15384615384615385,0.9216589861751152,0.4138248847926267,4.6082949308755765,4.6082949308755765,0.5763506625891947,2.605529953917051,1.9152073732718897,60.82949308755761,5.529953917050691,7.373271889400922,0.0,0.0,Wade Brookbank (CAR) p=1.00 | Jonathan Ericsson (DET) p=0.00 | Trevor Daley (DAL) p=0.00 | Matt Greene (LAK) p=0.00 | Nathan Oystrick (ATL) p=0.00 | Joni Pitkanen (CAR) p=0.00 | Jay Bouwmeester (FLA) p=0.00 | Ole-Kristian Tollefsen (CBJ) p=0.00 | Steve Eminger (TBL/PHI/FLA) p=0.00 | James Wisniewski (ANA/CHI) p=0.00 | Anton Babchuk (CAR) p=0.00 | Denis Grebeshkov (EDM) p=0.00
2,7.000000000000002,5.321141823218833,0.3009964575454427,0.8415528171191508,1.1425492746645936,4.349450536136275,3.565520325387876,0.8734289284809765,1.4862591831796126,2.4883482216229753,0.0,0.0,0.0,0.0,0.16684456277930237,0.017620964718285597,0.04294610460809801,0.004169489686640174,0.19896936031528029,0.013955521199295516,1.9490931500951933,2.792861384670946,0.5030184771867331,2.060971348265562,2.0352488630955334,49.27627998987836,3.4026353601461516,0.5999041370974165,0.949308945932174,6.211696403913456,Stephane Robidas (DAL) p=1.00 | Zdeno Chara (BOS) p=1.00 | Brent Burns (MIN) p=1.00 | Fedor Tyutin (CBJ) p=1.00 | Mike Commodore (CBJ) p=1.00 | Chris Pronger (ANA) p=1.00 | Alexander Edler (VAN) p=1.00 | Kevin Bieksa (VAN) p=0.00 | Philippe Boucher (PIT/DAL) p=0.00 | Christian Ehrhoff (SJS) p=0.00 | Kyle Quincey (LAK) p=0.00 | Sheldon Souray (EDM) p=0.00
3,1.0,6.271431976968075,0.26406029376707685,0.5281205875341537,0.7921808813012305,2.3765426439036914,2.4425577173454607,0.6601507344176921,1.5183466891606918,1.8484220563695377,0.0,0.0,0.0,0.0,0.3801472881233958,0.03930357142857143,0.3454314294624224,0.03571428571428571,0.0,0.11520138172571787,3.1088828651618012,2.1589464341401396,0.5036101434326529,2.2346822750497757,2.202643509967136,50.17391512941685,2.590735720968168,0.6908628589248448,0.6390465140807932,6.146117946542215,Peter Harrold (LAK) p=1.00 | Rob Blake (SJS) p=0.00 | Jonathan Ericsson (DET) p=0.00 | Trevor Daley (DAL) p=0.00 | Matt Greene (LAK) p=0.00 | Nathan Oystrick (ATL) p=0.00 | Joni Pitkanen (CAR) p=0.00 | Jay Bouwmeester (FLA) p=0.00 | Ole-Kristian Tollefsen (CBJ) p=0.00 | Steve Eminger (TBL/PHI/FLA) p=0.00 | James Wisniewski (ANA/CHI) p=0.00 | Anton Babchuk (CAR) p=0.00
4,42.009120557766224,3.6024824382399085,0.14451003309273652,0.5530793025361952,0.6975893356289318,5.28310116147678,4.514756250161478,0.870543450279601,1.9392125922864314,3.513399912658921,0.0,0.0,0.0,0.0,0.15544040661977135,0.019780227907371002,0.0765195713677677,0.010509055825695788,0.22159429045911647,0.024645436010727214,1.8239513955744784,2.1421311956452116,0.4872434750670637,2.157296328120235,2.271837332262401,53.163081465949105,4.186350296882056,0.7682779569247313,0.5155266155914643,5.639442759020197,Tyler Sloan (WSH) p=1.00 | Derek Meech (DET) p=1.00 | Sheldon Brookbank (ANA/NJD) p=1.00 | Ladislav Smid (EDM) p=1.00 | Jack Hillen (NYI) p=1.00 | Nathan Paetsch (BUF) p=1.00 | Christoph Schubert (OTT) p=1.00 | Randy Jones (PHI) p=1.00 | Steve Montador (ANA/BOS) p=1.00 | Cory Sarich (CGY) p=1.00 | Craig Rivet (BUF) p=1.00 | Steve Staios (EDM) p=1.00
5,16.94699418358987,3.310289630186885,0.07489803288909558,0.3351967211003672,0.41009475398946277,6.492657061699837,4.227965210003092,0.8618668593971676,1.9991941223959924,7.76752263499904,0.0,0.0,0.0,0.0,0.1131325972264545,0.015126444134413119,0.0018932422061678047,0.00023014061070905122,0.19709584600505412,0.003040132020176293,1.7483790904550771,2.0410483403914883,0.4963130901978737,2.128817373357155,2.153169164850411,53.4266703145246,3.9332598796252483,1.5664067945998739,0.14524746649900266,8.378990517221915,Nathan McIver (ANA) p=1.00 | Ole-Kristian Tollefsen (CBJ) p=1.00 | Theo Peckham (EDM) p=1.00 | Tim Conboy (CAR) p=1.00 | Sean Collins (WSH) p=1.00 | Rob Davison (VAN) p=1.00 | Lawrence Nycholat (VAN/COL) p=1.00 | Andrew Hutchinson (DAL/TBL) p=1.00 | Erik Reitz (MIN/NYR) p=1.00 | Boris Valabik (ATL) p=1.00 | Steve Wagner (STL) p=1.00 | Karl Alzner (WSH) p=1.00
6,49.73572440088823,5.535507625661225,0.3727546840959514,1.0408916561168668,1.4136463402128185,2.732622586699333,3.5950441451356303,0.9727940637371157,1.7206342607260665,1.883295068498215,0.0,0.0,0.0,0.0,0.17166196966903383,0.018425705558260962,0.028332459066234047,0.003022606080151831,0.2947541415307568,0.013911451104841724,2.036358598785111,2.622180036912574,0.5190269864979344,2.34499295069938,2.175249313998933,51.21287527544116,3.766400197699449,0.5844111099741028,0.8854224185561494,6.327041995274716,Alex Goligoski (PIT) p=1.00 | Carlo Colaiacovo (STL/TOR) p=1.00 | Ryan Whitney (ANA/PIT) p=1.00 | Alexandre Picard (OTT) p=1.00 | John-Michael Liles (COL) p=1.00 | Jeff Woywitka (STL) p=1.00 | Anssi Salmela (NJD/ATL) p=1.00 | Lubomir Visnovsky (EDM) p=1.00 | Bryan McCabe (FLA) p=1.00 | Andy Greene (NJD) p=1.00 | Sergei Gonchar (PIT) p=1.00 | Mike Green (WSH) p=1.00
7,10.101800136883822,2.9361248274535745,0.17884414446303065,0.7771818327180138,0.9560259771810442,4.476800179896218,4.32515238150265,0.48938137672249665,1.3516671625992212,3.4911753829049585,0.0,0.0,0.0,0.0,0.10471317749037147,0.01503955712032517,0.0072218669909505165,0.0007241298544333507,0.20027716527240444,0.0029637623569520226,1.566392230815115,1.6950634313162598,0.5003788434781788,2.089462045011759,2.0883680931440574,49.54243959268842,3.8362819281727965,0.692031560947968,0.28405574544173023,6.099931126171531,Brett Lebda (DET) p=1.00 | Matt Greene (LAK) p=1.00 | Niklas Kronwall (DET) p=1.00 | Josef Melichar (TBL/CAR) p=1.00 | Jay Leach (NJD) p=1.00 | David Hale (PHX) p=1.00 | Andy Sutton (NYI) p=1.00 | Andreas Lilja (DET) p=0.79 | Mark Stuart (BOS) p=0.78 | Cam Barker (CHI) p=0.69 | Marc Methot (CBJ) p=0.60 | Noah Welch (TBL/FLA) p=0.09
8,50.93586208555017,2.2008131749828057,0.07616015947581463,0.4326395493787026,0.5087997088545171,4.735641178628622,4.859234508500531,0.8841620085684018,1.519358396058738,2.2085591718202404,0.0,0.0,0.0,0.0,0.07200603369391058,0.012946900471886789,4.0965497006453586e-07,8.024888201820753e-08,0.11060596733747631,0.0029862930733707493,1.184713872802359,1.3976252929285453,0.48127468868271167,2.031704885517453,2.1888914237698325,53.89545191039467,4.295784024275248,0.4800204498380166,0.3094389320652132,6.105288936250099,Rob Scuderi (PIT) p=1.00 | Kurt Sauer (PHX) p=1.00 | Nick Schultz (MIN) p=1.00 | Matt Smaby (TBL) p=1.00 | Mike Lundin (TBL) p=1.00 | Ken Klee (PHX/ANA) p=1.00 | Jan Hejda (CBJ) p=1.00 | Mike Weaver (STL) p=1.00 | Greg De Vries (NSH) p=1.00 | Kent Huskins (ANA) p=1.00 | Brett Festerling (ANA) p=1.00 | Rostislav Klesla (CBJ) p=1.00
9,1.0,10.58315020447368,0.7858774904312139,0.8382693231266282,1.624146813557842,8.85421972552501,1.205012151994528,1.3621876500807708,0.9430529885174567,4.243738448328555,0.0,0.0,0.0,0.0,0.8455856980287068,0.052232653061224495,0.6607686942476414,0.04081632653061224,0.5286149553981132,0.0786975514848941,3.2377666018134432,6.4755332036268864,0.5233714177502841,2.191439374472303,1.9957196872361513,43.544656950919574,1.5197679967695754,1.4536911273448112,1.3719464825205008,3.2210526315789476,Dustin Byfuglien (CHI) p=1.00 | Rob Blake (SJS) p=0.00 | Jonathan Ericsson (DET) p=0.00 | Matt Greene (LAK) p=0.00 | Nathan Oystrick (ATL) p=0.00 | Joni Pitkanen (CAR) p=0.00 | Jay Bouwmeester (FLA) p=0.00 | Ole-Kristian Tollefsen (CBJ) p=0.00 | Steve Eminger (TBL/PHI/FLA) p=0.00 | James Wisniewski (ANA/CHI) p=0.00 | Anton Babchuk (CAR) p=0.00 | Denis Grebeshkov (EDM) p=0.00
