cluster,soft_size,reg_shots_per60,reg_goals_per60,reg_assists_per60,reg_points_per60,reg_hits_per60,reg_blocked_shots_per60,reg_takeaways_per60,reg_giveaways_per60,reg_pim_per60,reg_pp_share,reg_pk_share,reg_fo_pct,reg_fo_taken_per_game,mp_reg_5on5_I_F_xGoals_per60,mp_reg_5on5_I_F_xGoalsPerAttempt,mp_reg_5on5_I_F_highDangerShots_per60,mp_reg_5on5_I_F_highDangerShotShare,mp_reg_5on5_I_F_rebounds_per60,mp_reg_5on5_I_F_reboundxGoals_per60,mp_reg_5on5_I_F_playContinuedInZone_per60,mp_reg_5on5_I_F_playContinuedOutsideZone_per60,mp_reg_5on5_OnIce_xGoalsPercentage_calc,mp_reg_5on5_OnIce_F_xGoals_per60,mp_reg_5on5_OnIce_A_xGoals_per60,mp_reg_5on5_OnIce_A_shotAttempts_per60,mp_reg_5on5_shotsBlockedByPlayer_per60,mp_reg_5on5_penaltiesDrawn_per60,mp_reg_5on4_I_F_xGoals_per60,mp_reg_4on5_OnIce_A_xGoals_per60,prototype_players
0,7.000227110644425,7.861904847182272,1.1417031825831938,0.9905948704882865,2.1322980530714797,4.097137458880234,1.6345999008695027,1.3010575923515428,0.8699672833901366,1.536351625560464,0.0,0.0,0.0,0.0,0.8169816647363486,0.0620199681425931,1.0107713670917042,0.07708246441147351,0.683676050851187,0.22043569493344572,3.5469358258760764,3.6175643736325633,0.5020405956361385,2.532154673767718,2.416095052171331,55.156052569482654,1.8157338928577202,0.5482062878570007,1.1060167247167396,148.48336131826966,Nils Hoglander (VAN) p=1.00 | Anthony Mantha (WSH/VGK) p=1.00 | Max Willman (NJD) p=1.00 | Dominik Kubalik (OTT) p=1.00 | Cole Perfetti (WPG) p=1.00 | Filip Chytil (NYR) p=1.00 | Zach Hyman (EDM) p=1.00 | Matt Coronato (CGY) p=0.00 | Josh Anderson (MTL) p=0.00 | Jake Guentzel (PIT/CAR) p=0.00 | Jesper Fast (CAR) p=0.00 | Walker Duehr (CGY) p=0.00
1,52.35720974460669,5.398227845099603,0.39903811239911363,0.5435993181559254,0.942637430555039,10.053912103756682,3.0050988672809256,1.3356533438988087,0.9800662029555124,2.6556707259094985,0.0,0.0,0.0,0.0,0.595901044613889,0.05874349337487233,0.7209000014208498,0.07329731548700395,0.5591616654399177,0.1688579315783632,2.8717983036991193,3.1311945503580487,0.44719656366247584,1.999869999790255,2.465384040922263,60.999113934801095,2.8906144969342358,0.8861027435748398,0.16225322153551633,6.373899979032867,Liam O'Brien (ARI) p=1.00 | Michael Pezzetta (MTL) p=1.00 | Patrick Brown (BOS) p=1.00 | Phillip Di Giuseppe (VAN) p=1.00 | Jake Lucchini (MIN) p=1.00 | Mathieu Olivier (CBJ) p=1.00 | Jonathan Gruden (PIT) p=1.00 | Garnet Hathaway (PHI) p=1.00 | Tyson Jost (BUF) p=1.00 | Brock McGinn (ANA) p=1.00 | Mikael Pyyhtia (CBJ) p=1.00 | Waltteri Merela (TBL) p=1.00
2,90.04151599133598,5.741101281095865,0.6429190196175253,0.8776952034311026,1.520614223048628,5.431556264209504,2.630050205589654,1.6216708383489034,1.192614150810142,1.7582449676817256,0.0,0.0,0.0,0.0,0.650116884093994,0.061754769216356,0.7648984678625338,0.07317154238722698,0.6423212881811449,0.18193785088674816,2.895024862508303,2.9578388361597647,0.4860390560027465,2.35810459776897,2.488681253131401,58.80357730691483,2.502407869959527,0.8034175932200827,1.0915775314479994,7.714395227154152,Kevin Stenlund (FLA) p=1.00 | Sam Carrick (ANA/EDM) p=1.00 | Luke Glendening (TBL) p=1.00 | Nic Dowd (WSH) p=1.00 | Jean-Gabriel Pageau (NYI) p=1.00 | Jason Dickinson (CHI) p=1.00 | Jake Evans (MTL) p=1.00 | Adam Lowry (WPG) p=1.00 | David Kampf (TOR) p=1.00 | Colton Sissons (NSH) p=1.00 | Adam Henrique (ANA/EDM) p=1.00 | J.T. Compher (DET) p=1.00
3,36.078577484926214,6.503844350813817,0.7239901475045338,1.108410179773586,1.8324003272781197,6.243127391256219,1.9146509384800423,1.5862966591139611,1.5237444211713573,2.3042744402412185,0.0,0.0,0.0,0.0,0.6168990305282448,0.053619533262633315,0.6207175776784057,0.054337134734446034,0.5968598110945464,0.14501099263186745,3.0026694297730887,3.3211250751256816,0.4755668046990309,2.283928461199731,2.52548940598885,59.56729430438654,2.0108823575394412,1.0727457697783427,1.0678217258609204,14.206189161304732,Keegan Kolesar (VGK) p=1.00 | Tanner Jeannot (TBL) p=1.00 | Conor Sheary (TBL) p=1.00 | MacKenzie Entwistle (CHI) p=1.00 | Andrei Svechnikov (CAR) p=1.00 | Ryan Strome (ANA) p=1.00 | Mason McTavish (ANA) p=1.00 | William Eklund (SJS) p=1.00 | Ryan Donato (CHI) p=1.00 | Mason Marchment (DAL) p=1.00 | Mats Zuccarello (MIN) p=1.00 | Klim Kostin (DET/SJS) p=1.00
4,62.33657949567177,6.8481011983755,0.7930823623304154,1.0316009017968566,1.8246832641272719,3.660445438088262,2.0992354177613626,1.7431547430294312,1.3326599447541887,1.3110310455046748,0.0,0.0,0.0,0.0,0.7059417081890127,0.05841522358919289,0.8105194899726802,0.0677188644234876,0.6834712562218703,0.18287498395701296,3.1514004587056883,3.553869647954126,0.49010013345238773,2.4761236316827753,2.577861483072434,60.31968526111362,2.1971734071646556,0.7932934278237269,1.270732294350793,5.61771749516628,Danton Heinen (BOS) p=1.00 | Andreas Athanasiou (CHI) p=1.00 | Ondrej Palat (NJD) p=1.00 | Drew O'Connor (PIT) p=1.00 | Michael Amadio (VGK) p=1.00 | Anthony Duclair (SJS/TBL) p=1.00 | Jimmy Vesey (NYR) p=1.00 | Brandon Saad (STL) p=1.00 | Jonny Brodzinski (NYR) p=1.00 | Anthony Beauvillier (CHI/VAN/NSH) p=1.00 | Adam Ruzicka (CGY/ARI) p=1.00 | Jake DeBrusk (BOS) p=1.00
5,52.44730254754771,6.005626285929582,0.3875409373885726,0.6038992154569299,0.9914401528455025,11.12502605600933,2.554744544088927,1.414396115003004,1.0866940273184056,4.843746417578021,0.0,0.0,0.0,0.0,0.6000140859088807,0.05497332986116727,0.625613085463651,0.05635742260351405,0.6624760082231456,0.17524785766512097,3.05593238490152,3.0671581041828615,0.44400236187277065,2.0100527673088675,2.5077282461521113,60.599380575568624,2.6380412661019004,1.085637890504421,0.15633079850806528,0.0701827183189641,Matt Rempe (NYR) p=1.00 | Austin Watson (TBL) p=1.00 | Kurtis MacDermid (COL/NJD) p=1.00 | Brendan Lemieux (CAR) p=1.00 | Zack MacEwen (OTT) p=1.00 | William Lockwood (FLA) p=1.00 | Mason Shaw (MIN) p=1.00 | Adam Edstrom (NYR) p=1.00 | Denis Gurianov (NSH/PHI) p=1.00 | Ross Johnston (ANA) p=1.00 | Nicolas Deslauriers (PHI) p=1.00 | Mackenzie MacEachern (STL) p=1.00
6,14.001331245306218,8.521733329824151,1.227531795311902,1.587359816439786,2.8148916117516887,2.3012291211452327,1.59858216635829,1.7178773720183826,1.6647902564523873,1.53218547733743,0.0,0.0,0.0,0.0,0.7808746136479991,0.056197619890657975,0.8020854185887958,0.058046272622101554,0.7811010864500952,0.2010069390688935,3.5513638795405322,3.8989619086683875,0.5154389498261017,2.7509948950384153,2.580161881131618,59.27237620350133,1.7822569761759328,0.7861700820289862,1.7384588169549064,5.324802395191953,David Perron (DET) p=1.00 | Alex Newhook (MTL) p=1.00 | Artemi Panarin (NYR) p=1.00 | Vladimir Tarasenko (OTT/FLA) p=1.00 | Dylan Strome (WSH) p=1.00 | Mikko Rantanen (COL) p=1.00 | Matt Boldy (MIN) p=1.00 | Brayden Point (TBL) p=1.00 | Troy Terry (ANA) p=1.00 | Kevin Fiala (LAK) p=1.00 | Anders Lee (NYI) p=1.00 | Evgeni Malkin (PIT) p=1.00
7,44.68129993261982,7.1934978497809885,0.7569123779252578,0.8344990136277696,1.5914113915530272,9.264860774737237,2.3120651108419596,1.608723864707896,1.2145352503380253,2.847605280417717,0.0,0.0,0.0,0.0,0.7403145678971351,0.05763399588896413,0.8260457998581067,0.06198438959977852,0.8585008341764333,0.1840685965226595,3.480443973136623,3.758642680785918,0.4861242527504787,2.40399322935625,2.5352655704284563,58.863503694419656,2.3161395152705166,1.0060689504018818,3.743672679435826,4.860933868794409,Dylan Holloway (EDM) p=1.00 | Zemgus Girgensons (BUF) p=1.00 | A.J. Greer (CGY) p=1.00 | Ryan Lomberg (FLA) p=1.00 | Mason Morelli (VGK) p=1.00 | Eric Robinson (BUF/CBJ) p=1.00 | Justin Brazeau (BOS) p=1.00 | Carl Grundstrom (LAK) p=1.00 | Mattias Janmark (EDM) p=1.00 | James Malatesta (CBJ) p=1.00 | Marat Khusnutdinov (MIN) p=1.00 | Adam Erne (EDM) p=1.00
8,70.13347309137727,8.327861541591883,0.9520104334670809,1.1637154447961748,2.1157258782632558,3.956580658776453,1.6033632560893527,1.6693473652647488,1.472195390473677,1.5567871122566161,0.0,0.0,0.0,0.0,0.7625733391949322,0.0537203733096152,0.7920389639894407,0.055594175405027146,0.8509254379930563,0.1919588153459186,3.8123130411173585,3.9477321825546676,0.5010269810784787,2.5965116979040253,2.5846425047213746,59.110276006028954,1.8050198990856337,0.8041653305447451,1.5058999645168873,0.10898130897133468,Jordan Kyrou (STL) p=1.00 | Patrik Laine (CBJ) p=1.00 | Sonny Milano (WSH) p=1.00 | Conor Garland (VAN) p=1.00 | Timo Meier (NJD) p=1.00 | Arthur Kaliyev (LAK) p=1.00 | Ivan Miroshnichenko (WSH) p=1.00 | Oliver Bjorkstrand (SEA) p=1.00 | Luke Evangelista (NSH) p=1.00 | JJ Peterka (BUF) p=1.00 | Daniel Sprong (DET) p=1.00 | Filip Forsberg (NSH) p=1.00
9,88.64545934679593,8.485397329194571,1.061904476400104,1.51069311517968,2.5725975915797843,3.14130439436796,1.8049410915817634,1.8652137802313833,1.7029678936459285,1.5515935169302817,0.0,0.0,0.0,0.0,0.7925312918536482,0.05511374122177445,0.8402864968011775,0.05863366750690641,0.8895389958576702,0.1932012205807815,3.8072057397237167,4.009253862732549,0.5266528392366601,2.787862140300485,2.497790912233699,56.70502849287525,1.945271105972494,0.9492962413846359,1.849950878890598,5.956136140304161,Tage Thompson (BUF) p=1.00 | Aleksander Barkov (FLA) p=1.00 | J.T. Miller (VAN) p=1.00 | Sebastian Aho (CAR) p=1.00 | Erik Haula (NJD) p=1.00 | Leon Draisaitl (EDM) p=1.00 | Sidney Crosby (PIT) p=1.00 | William Karlsson (VGK) p=1.00 | Nathan MacKinnon (COL) p=1.00 | Ryan Hartman (MIN) p=1.00 | Tomas Hertl (SJS/VGK) p=1.00 | Auston Matthews (TOR) p=1.00
