cluster,soft_size,top_traits,low_traits,prototype_players
0,88.72987526710811,"mp_reg_5on5_I_F_reboundxGoals_per60(+1.29), reg_takeaways_per60(+1.11), mp_reg_5on5_OnIce_F_xGoals_per60(+0.81), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.64)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.60), reg_hits_per60(-0.55), reg_pim_per60(-0.51)",TJ Brodie (CGY) p=1.00 | Marc-Edouard Vlasic (SJS) p=1.00 | Erik Johnson (COL) p=1.00 | Brady Skjei (NYR) p=1.00 | Aaron Ekblad (FLA) p=1.00 | Ryan McDonagh (NYR/TBL) p=1.00 | Dmitry Orlov (WSH) p=1.00 | Mike Matheson (FLA) p=1.00 | Jeff Petry (MTL) p=1.00 | Ivan Provorov (PHI) p=1.00 | Colton Parayko (STL) p=1.00 | Jared Spurgeon (MIN) p=1.00
1,9.0,"mp_reg_5on5_I_F_rebounds_per60(+1.15), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+1.08), reg_takeaways_per60(+0.72), mp_reg_5on5_OnIce_F_xGoals_per60(+0.70)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.69), mp_reg_5on5_OnIce_A_xGoals_per60(-0.55), mp_reg_5on5_penaltiesDrawn_per60(-0.51)",Carl Dahlstrom (CHI) p=1.00 | Colin Miller (VGK) p=1.00 | Josh Morrissey (WPG) p=1.00 | Dougie Hamilton (CGY) p=1.00 | Vince Dunn (STL) p=1.00 | Alexander Edler (VAN) p=1.00 | Alexei Emelin (NSH) p=1.00 | Jonathan Ericsson (DET) p=1.00 | Brandon Carlo (BOS) p=1.00 | Luke Witkowski (DET) p=0.00 | Adam Pelech (NYI) p=0.00 | Shayne Gostisbehere (PHI) p=0.00
2,51.16527502689662,"reg_blocked_shots_per60(+1.01), mp_reg_5on5_OnIce_A_xGoals_per60(+0.73), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.61), mp_reg_5on5_I_F_reboundxGoals_per60(+0.38)","reg_assists_per60(-1.46), reg_points_per60(-1.38), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.16)",Robert Hagg (PHI) p=1.00 | Erik Gudbranson (VAN) p=1.00 | Greg Pateryn (DAL) p=1.00 | Adam Larsson (EDM) p=1.00 | Luke Schenn (ARI) p=1.00 | Dennis Seidenberg (NYI) p=1.00 | Noah Juulsen (MTL) p=1.00 | Justin Falk (BUF) p=1.00 | Johnny Oduya (OTT/PHI) p=1.00 | Anton Lindholm (COL) p=1.00 | Steven Santini (NJD) p=1.00 | Jay Bouwmeester (STL) p=1.00
3,1.0,"mp_reg_5on5_I_F_highDangerShotShare(+3.15), mp_reg_5on5_I_F_highDangerShots_per60(+3.15), mp_reg_5on5_I_F_xGoalsPerAttempt(+3.12), mp_reg_5on5_I_F_xGoals_per60(+2.99)","mp_reg_5on5_I_F_reboundxGoals_per60(-1.67), mp_reg_5on5_I_F_rebounds_per60(-1.65), mp_reg_5on5_OnIce_F_xGoals_per60(-1.57)",Luke Witkowski (DET) p=1.00 | Zdeno Chara (BOS) p=0.00 | Matt Grzelcyk (BOS) p=0.00 | Jake McCabe (BUF) p=0.00 | Damon Severson (NJD) p=0.00 | Adam Pelech (NYI) p=0.00 | Shayne Gostisbehere (PHI) p=0.00 | Esa Lindell (DAL) p=0.00 | Colton Parayko (STL) p=0.00 | Slater Koekkoek (TBL) p=0.00 | Brady Skjei (NYR) p=0.00 | Jacob Trouba (WPG) p=0.00
4,26.342098153577034,"reg_blocked_shots_per60(+1.48), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.44), mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.38), mp_reg_5on5_OnIce_A_xGoals_per60(+1.27)","reg_shots_per60(-1.62), mp_reg_5on5_I_F_playContinuedInZone_per60(-1.39), reg_points_per60(-0.90)",Roland McKeown (CAR) p=1.00 | Joe Hicketts (DET) p=1.00 | Andrei Mironov (COL) p=1.00 | Brendan Smith (NYR) p=1.00 | Mark Borowiecki (OTT) p=1.00 | Aaron Ness (WSH) p=1.00 | Rasmus Andersson (CGY) p=1.00 | Duncan Siemens (COL) p=1.00 | Ben Harpur (OTT) p=1.00 | Kyle Quincey (MIN) p=1.00 | Jason Garrison (VGK) p=1.00 | Niklas Hjalmarsson (ARI) p=1.00
5,19.753872316406113,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.58), mp_reg_5on5_OnIce_A_xGoals_per60(+1.28), reg_giveaways_per60(+1.17), mp_reg_5on5_OnIce_F_xGoals_per60(+1.06)","reg_hits_per60(-0.66), reg_pim_per60(-0.55), mp_reg_5on5_penaltiesDrawn_per60(-0.53)",Erik Gustafsson (CHI) p=1.00 | Adam Clendening (ARI) p=1.00 | Markus Nutivaara (CBJ) p=1.00 | Kevin Gravel (LAK) p=1.00 | John Gilmour (NYR) p=1.00 | Tim Heed (SJS) p=1.00 | Neal Pionk (NYR) p=1.00 | Dakota Mermis (ARI) p=1.00 | Toby Enstrom (WPG) p=1.00 | Cody Franson (CHI) p=1.00 | Kevin Connauton (ARI) p=1.00 | Mark Alt (PHI/COL) p=1.00
6,22.990876441315997,"mp_reg_5on4_I_F_xGoals_per60(+2.84), reg_blocked_shots_per60(+1.32), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.02), mp_reg_5on5_OnIce_F_xGoals_per60(+0.58)","reg_shots_per60(-1.21), reg_assists_per60(-1.12), reg_points_per60(-0.93)",Jamie Oleksiak (PIT/DAL) p=1.00 | Dan Girardi (TBL) p=1.00 | Carl Gunnarsson (STL) p=1.00 | Ian McCoshen (FLA) p=1.00 | Scott Mayfield (NYI) p=1.00 | Connor Carrick (TOR) p=1.00 | Ron Hainsey (TOR) p=1.00 | Jordie Benn (MTL) p=1.00 | Jaycob Megna (ANA) p=1.00 | Fredrik Claesson (OTT) p=1.00 | Jakub Jerabek (MTL/WSH) p=1.00 | Brayden McNabb (VGK) p=1.00
7,17.04304371095943,"reg_assists_per60(+2.14), reg_shots_per60(+2.10), reg_points_per60(+1.99), mp_reg_5on5_I_F_rebounds_per60(+1.51)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.10), reg_hits_per60(-0.78), reg_blocked_shots_per60(-0.52)",Chris Wideman (OTT) p=1.00 | Mikhail Sergachev (TBL) p=1.00 | Shayne Gostisbehere (PHI) p=1.00 | Tyson Barrie (COL) p=1.00 | Brent Burns (SJS) p=1.00 | Brendan Guhle (BUF) p=1.00 | Tony DeAngelo (NYR) p=1.00 | Noah Hanifin (CAR) p=1.00 | Torey Krug (BOS) p=1.00 | Shea Theodore (VGK) p=1.00 | Jakob Chychrun (ARI) p=1.00 | Justin Faulk (CAR) p=1.00
8,39.97495908373668,"mp_reg_5on5_I_F_reboundxGoals_per60(+1.19), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.37), mp_reg_5on5_OnIce_F_xGoals_per60(+0.33), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.16)","mp_reg_4on5_OnIce_A_xGoals_per60(-0.90), reg_hits_per60(-0.64), mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.61)",Paul Postma (BOS) p=1.00 | Gustav Olofsson (MIN) p=1.00 | Xavier Ouellet (DET) p=1.00 | Marc Staal (NYR) p=1.00 | Dean Kukan (CBJ) p=1.00 | Brad Hunt (VGK) p=1.00 | Sebastian Aho (NYI) p=1.00 | Samuel Girard (COL/NSH) p=1.00 | Julius Honka (DAL) p=1.00 | Christian Wolanin (OTT) p=1.00 | Yohann Auvitu (EDM) p=1.00 | Victor Antipin (BUF) p=1.00
9,1.0,"mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+3.04), mp_reg_5on5_penaltiesDrawn_per60(+2.84), reg_pim_per60(+2.41), mp_reg_5on5_I_F_playContinuedInZone_per60(+2.18)","reg_takeaways_per60(-2.63), mp_reg_5on5_shotsBlockedByPlayer_per60(-2.58), reg_giveaways_per60(-2.51)",Dillon Heatherington (DAL) p=1.00 | Jaccob Slavin (CAR) p=0.00 | Jake McCabe (BUF) p=0.00 | Damon Severson (NJD) p=0.00 | Adam Pelech (NYI) p=0.00 | Shayne Gostisbehere (PHI) p=0.00 | Esa Lindell (DAL) p=0.00 | Colton Parayko (STL) p=0.00 | Matt Grzelcyk (BOS) p=0.00 | Zdeno Chara (BOS) p=0.00 | Slater Koekkoek (TBL) p=0.00 | Jacob Trouba (WPG) p=0.00
