cluster,soft_size,top_traits,low_traits,prototype_players
0,7.000227110644425,"mp_reg_4on5_OnIce_A_xGoals_per60(+3.15), reg_goals_per60(+1.26), mp_reg_5on5_I_F_xGoals_per60(+0.84), reg_shots_per60(+0.79)","mp_reg_5on5_penaltiesDrawn_per60(-2.15), mp_reg_5on5_OnIce_A_xGoals_per60(-2.09), mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.91)",Nils Hoglander (VAN) p=1.00 | Anthony Mantha (WSH/VGK) p=1.00 | Max Willman (NJD) p=1.00 | Dominik Kubalik (OTT) p=1.00 | Cole Perfetti (WPG) p=1.00 | Filip Chytil (NYR) p=1.00 | Zach Hyman (EDM) p=1.00 | Matt Coronato (CGY) p=0.00 | Josh Anderson (MTL) p=0.00 | Jake Guentzel (PIT/CAR) p=0.00 | Jesper Fast (CAR) p=0.00 | Walker Duehr (CGY) p=0.00
1,52.35720974460669,"reg_hits_per60(+1.48), reg_blocked_shots_per60(+0.97), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.80), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.70)","mp_reg_5on5_OnIce_F_xGoals_per60(-1.74), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.67), reg_goals_per60(-1.57)",Liam O'Brien (ARI) p=1.00 | Michael Pezzetta (MTL) p=1.00 | Patrick Brown (BOS) p=1.00 | Phillip Di Giuseppe (VAN) p=1.00 | Jake Lucchini (MIN) p=1.00 | Mathieu Olivier (CBJ) p=1.00 | Jonathan Gruden (PIT) p=1.00 | Garnet Hathaway (PHI) p=1.00 | Tyson Jost (BUF) p=1.00 | Brock McGinn (ANA) p=1.00 | Mikael Pyyhtia (CBJ) p=1.00 | Waltteri Merela (TBL) p=1.00
2,90.04151599133598,"reg_blocked_shots_per60(+0.46), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.21), reg_takeaways_per60(+0.13), mp_reg_5on5_I_F_xGoalsPerAttempt(+0.11)","mp_reg_5on5_I_F_playContinuedInZone_per60(-1.20), reg_shots_per60(-1.00), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-0.90)",Kevin Stenlund (FLA) p=1.00 | Sam Carrick (ANA/EDM) p=1.00 | Luke Glendening (TBL) p=1.00 | Nic Dowd (WSH) p=1.00 | Jean-Gabriel Pageau (NYI) p=1.00 | Jason Dickinson (CHI) p=1.00 | Jake Evans (MTL) p=1.00 | Adam Lowry (WPG) p=1.00 | David Kampf (TOR) p=1.00 | Colton Sissons (NSH) p=1.00 | Adam Henrique (ANA/EDM) p=1.00 | J.T. Compher (DET) p=1.00
3,36.078577484926214,"mp_reg_5on5_penaltiesDrawn_per60(+1.39), reg_giveaways_per60(+0.76), reg_assists_per60(+0.35), reg_pim_per60(+0.25)","mp_reg_5on5_I_F_rebounds_per60(-1.10), mp_reg_5on5_I_F_xGoals_per60(-1.07), mp_reg_5on5_I_F_reboundxGoals_per60(-0.93)",Keegan Kolesar (VGK) p=1.00 | Tanner Jeannot (TBL) p=1.00 | Conor Sheary (TBL) p=1.00 | MacKenzie Entwistle (CHI) p=1.00 | Andrei Svechnikov (CAR) p=1.00 | Ryan Strome (ANA) p=1.00 | Mason McTavish (ANA) p=1.00 | William Eklund (SJS) p=1.00 | Ryan Donato (CHI) p=1.00 | Mason Marchment (DAL) p=1.00 | Mats Zuccarello (MIN) p=1.00 | Klim Kostin (DET/SJS) p=1.00
4,62.33657949567177,"mp_reg_5on5_OnIce_A_xGoals_per60(+1.14), reg_takeaways_per60(+0.83), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.40), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+0.28)","reg_pim_per60(-0.68), reg_hits_per60(-0.66), mp_reg_5on5_penaltiesDrawn_per60(-0.50)",Danton Heinen (BOS) p=1.00 | Andreas Athanasiou (CHI) p=1.00 | Ondrej Palat (NJD) p=1.00 | Drew O'Connor (PIT) p=1.00 | Michael Amadio (VGK) p=1.00 | Anthony Duclair (SJS/TBL) p=1.00 | Jimmy Vesey (NYR) p=1.00 | Brandon Saad (STL) p=1.00 | Jonny Brodzinski (NYR) p=1.00 | Anthony Beauvillier (CHI/VAN/NSH) p=1.00 | Adam Ruzicka (CGY/ARI) p=1.00 | Jake DeBrusk (BOS) p=1.00
5,52.44730254754771,"reg_pim_per60(+2.60), reg_hits_per60(+1.83), mp_reg_5on5_penaltiesDrawn_per60(+1.47), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.52)","mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.80), mp_reg_5on5_OnIce_F_xGoals_per60(-1.70), reg_goals_per60(-1.62)",Matt Rempe (NYR) p=1.00 | Austin Watson (TBL) p=1.00 | Kurtis MacDermid (COL/NJD) p=1.00 | Brendan Lemieux (CAR) p=1.00 | Zack MacEwen (OTT) p=1.00 | William Lockwood (FLA) p=1.00 | Mason Shaw (MIN) p=1.00 | Adam Edstrom (NYR) p=1.00 | Denis Gurianov (NSH/PHI) p=1.00 | Ross Johnston (ANA) p=1.00 | Nicolas Deslauriers (PHI) p=1.00 | Mackenzie MacEachern (STL) p=1.00
6,14.001331245306218,"reg_assists_per60(+1.84), reg_points_per60(+1.81), reg_goals_per60(+1.59), reg_shots_per60(+1.35)","reg_hits_per60(-1.11), reg_blocked_shots_per60(-0.96), mp_reg_5on5_shotsBlockedByPlayer_per60(-0.89)",David Perron (DET) p=1.00 | Alex Newhook (MTL) p=1.00 | Artemi Panarin (NYR) p=1.00 | Vladimir Tarasenko (OTT/FLA) p=1.00 | Dylan Strome (WSH) p=1.00 | Mikko Rantanen (COL) p=1.00 | Matt Boldy (MIN) p=1.00 | Brayden Point (TBL) p=1.00 | Troy Terry (ANA) p=1.00 | Kevin Fiala (LAK) p=1.00 | Anders Lee (NYI) p=1.00 | Evgeni Malkin (PIT) p=1.00
7,44.68129993261982,"mp_reg_5on4_I_F_xGoals_per60(+2.57), mp_reg_5on5_I_F_rebounds_per60(+1.34), reg_hits_per60(+1.21), mp_reg_5on5_penaltiesDrawn_per60(+0.94)","reg_assists_per60(-0.51), reg_giveaways_per60(-0.41), reg_points_per60(-0.39)",Dylan Holloway (EDM) p=1.00 | Zemgus Girgensons (BUF) p=1.00 | A.J. Greer (CGY) p=1.00 | Ryan Lomberg (FLA) p=1.00 | Mason Morelli (VGK) p=1.00 | Eric Robinson (BUF/CBJ) p=1.00 | Justin Brazeau (BOS) p=1.00 | Carl Grundstrom (LAK) p=1.00 | Mattias Janmark (EDM) p=1.00 | James Malatesta (CBJ) p=1.00 | Marat Khusnutdinov (MIN) p=1.00 | Adam Erne (EDM) p=1.00
8,70.13347309137727,"mp_reg_5on5_I_F_playContinuedInZone_per60(+1.54), mp_reg_5on5_OnIce_A_xGoals_per60(+1.28), mp_reg_5on5_I_F_rebounds_per60(+1.27), reg_shots_per60(+1.19)","reg_blocked_shots_per60(-0.95), mp_reg_5on5_shotsBlockedByPlayer_per60(-0.85), mp_reg_5on5_I_F_xGoalsPerAttempt(-0.63)",Jordan Kyrou (STL) p=1.00 | Patrik Laine (CBJ) p=1.00 | Sonny Milano (WSH) p=1.00 | Conor Garland (VAN) p=1.00 | Timo Meier (NJD) p=1.00 | Arthur Kaliyev (LAK) p=1.00 | Ivan Miroshnichenko (WSH) p=1.00 | Oliver Bjorkstrand (SEA) p=1.00 | Luke Evangelista (NSH) p=1.00 | JJ Peterka (BUF) p=1.00 | Daniel Sprong (DET) p=1.00 | Filip Forsberg (NSH) p=1.00
9,88.64545934679593,"mp_reg_5on5_I_F_rebounds_per60(+1.63), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+1.63), reg_assists_per60(+1.60), reg_takeaways_per60(+1.55)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.22), reg_hits_per60(-0.83), reg_blocked_shots_per60(-0.68)",Tage Thompson (BUF) p=1.00 | Aleksander Barkov (FLA) p=1.00 | J.T. Miller (VAN) p=1.00 | Sebastian Aho (CAR) p=1.00 | Erik Haula (NJD) p=1.00 | Leon Draisaitl (EDM) p=1.00 | Sidney Crosby (PIT) p=1.00 | William Karlsson (VGK) p=1.00 | Nathan MacKinnon (COL) p=1.00 | Ryan Hartman (MIN) p=1.00 | Tomas Hertl (SJS/VGK) p=1.00 | Auston Matthews (TOR) p=1.00
